Country,Mean,Max,Min,Median,StdDev,Variance,25th Percentile (Q1),75th Percentile (Q3),Count
maghreb,0.28881132523331055,0.34657359027997264,0.2310490601866484,0.28881132523331055,0.08168817862237898,0.0066729585266416935,0.25993019270997947,0.31769245775664157,2
oman,0.10054917698172441,0.30723334511221345,-0.0063656373724893306,0.08892662963662043,0.05952967313917124,0.0035437819840565665,0.060293742109294106,0.13087873916713944,303
saudi arabia,0.09716837763899881,0.39191690070366264,-0.01361334499249971,0.09154086605354131,0.06215049752961743,0.003862684343178983,0.055720188112854896,0.12966571270575783,167
levant,0.09391241133437697,0.17658700893275062,0.0076316204728317134,0.09699393952538615,0.04048601956454786,0.001639117780180952,0.06580663576381017,0.12426254620880142,49
united arab emirates,0.08751032127241393,0.34657359027997264,0.003988614370560829,0.07797905781299384,0.04854554146549285,0.0023566695961778857,0.05234562089627216,0.11665379753345978,283
middle east,0.08387306343150253,0.19587719419975405,-0.03465735902799726,0.08343161521591728,0.040650992928480026,0.0016525032260713331,0.05862283259136699,0.10679106731375984,237
jordan,0.07498554317157785,0.24298982139947725,-0.022527283368198224,0.07219476521703098,0.050981595828328,0.002599123113202991,0.03987012317703924,0.10447449736083389,111
malta,0.07462157465846588,0.2318105636258037,-0.12707698310265664,0.0803009997644516,0.0797486355042987,0.0063598448647974905,0.023938802774804965,0.12895238131845732,66
qatar,0.07377570612033922,0.21711319353764116,-0.0030435033902137354,0.06712067539251101,0.04865533799262234,0.002367341915176319,0.03727862074646964,0.10083434363990383,100
lebanon,0.07278385736635236,0.29080912606464443,-0.03465735902799726,0.06681776592310867,0.062103497265998266,0.003856844372667854,0.02853518254499767,0.10633507883590067,118
mauritania,0.07248173581593674,0.21711319353764116,-0.0030435033902137414,0.0709584136406861,0.04708614298796489,0.0022171048614830747,0.03618843861669328,0.10155913357107045,105
djibouti,0.07171328634198025,0.19947807079379748,-0.02475525644856946,0.06522641259328042,0.049238616558243575,0.0024244413605697384,0.03300700859809264,0.10501283007922105,77
kuwait,0.07141651024167885,0.2190840195698398,0.0,0.05942055918562776,0.046079975265929635,0.002123364120508687,0.0353575076952295,0.10644107642995693,112
egypt,0.06988670578619827,0.34657359027997264,-0.0040079939011969466,0.06362904271802719,0.05047602005955707,0.0025478286010528076,0.0331720436410831,0.10045016646069731,177
morocco,0.0698608024727504,0.16951456558591857,-0.02723078209342642,0.06680168444682155,0.04820927731057372,0.002324134418807798,0.02954113157068455,0.10180592802592042,104
bahrain,0.06524789865847001,0.1726336825910318,0.001260267601018071,0.06315437946719836,0.03304162939866109,0.0010917492733184652,0.04221305559858107,0.08424404606529462,119
north africa,0.06351561793624247,0.18688860648641123,-0.024603209271632603,0.06390578735240854,0.04272800238056401,0.0018256821874334838,0.03169912204469153,0.08570122160354227,187
tunisia,0.05914457979276808,0.22719824251687093,-0.05179990996649941,0.05487415179432901,0.053396729160105405,0.002851210684997651,0.025023948235359847,0.09023358580908211,106
israel,0.050827649562663474,0.14727488595913993,-0.04493511093021159,0.04453189903361505,0.04346723571489767,0.0018894005806944754,0.017066429556732644,0.08757252342890698,149
palestine,0.05013609457344696,0.15044444487153355,-0.0021004460016967983,0.037553700056912206,0.03583611750537951,0.0012842273178593677,0.026565015726817166,0.07552784673734478,68
iraq,0.043293015950289816,0.11678711265761119,-0.09241962407465935,0.04023757843139323,0.04098969329185171,0.0016801549561600729,0.017042040171383728,0.07275563681539474,97
yemen,0.04316435425635641,0.17328679513998632,-0.009784220405863173,0.028298958687175226,0.04247982763771432,0.001804535756129917,0.014026321406273187,0.06221955413039365,29
iran,0.04235256031176051,0.11456783743902108,-0.08086717106532693,0.056568375904491666,0.046191976136226776,0.002133698659369744,0.00946627596744089,0.07778917374364401,76
algeria,0.04131643891807517,0.12148150926412282,-0.07966691620721449,0.03913061630443124,0.03491475386300043,0.001219040037313903,0.023581673920637286,0.06023779069151906,114
libya,0.04080489555167635,0.13367838482227515,-0.02166084939249829,0.03604897945766448,0.03551987412222703,0.0012616614576588532,0.01187060272566847,0.07149480594533061,103
gulf cooperation council (gcc),0.03427401051995693,0.0981958505793256,0.0053961457995972675,0.024275062893231013,0.02794754592171173,0.0007810653230461858,0.016723551023033613,0.04767312275184513,13
syria,0.011905735066703619,0.07061181552887397,-0.12927745034252947,0.02619931307473602,0.04745527329537481,0.002252002963538713,0.0081142229470311,0.03599211777121001,61
arabian peninsula,-0.015403270679109895,0.0,-0.046209812037329684,0.0,0.0266792474189543,0.0007117822428417798,-0.023104906018664842,0.0,3
